datetime (UTC),"coordinates (lat,lon)",model (name),model elevation (surface),utc_offset (hrs),temperature (degC),wind_speed (m/s),wind_direction (deg),total_cloud_cover (0-1)
2015-01-01 00:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,0.46,4.34,255.33,1.0
2015-01-01 01:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,0.53,4.45,253.67,1.0
2015-01-01 02:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,0.97,4.4,252.3,1.0
2015-01-01 03:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.09,4.53,254.9,1.0
2015-01-01 04:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.28,4.57,260.02,1.0
2015-01-01 05:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.8,4.64,263.98,1.0
2015-01-01 06:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.04,4.66,266.58,1.0
2015-01-01 07:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.17,4.69,267.58,1.0
2015-01-01 08:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.53,4.88,269.64,1.0
2015-01-01 09:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.46,5.18,272.44,1.0
2015-01-01 10:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.6,5.07,274.69,0.99
2015-01-01 11:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.62,5.08,273.38,1.0
2015-01-01 12:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.57,5.13,271.64,1.0
2015-01-01 13:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.43,5.43,270.68,1.0
2015-01-01 14:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.48,5.6,271.42,1.0
2015-01-01 15:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.53,5.09,266.97,1.0
2015-01-01 16:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.67,5.32,266.8,1.0
2015-01-01 17:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.93,5.34,265.27,1.0
2015-01-01 18:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,3.11,5.38,266.72,1.0
2015-01-01 19:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,3.34,5.23,263.13,1.0
2015-01-01 20:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,3.31,5.48,260.05,1.0
2015-01-01 21:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,3.07,5.65,256.13,1.0
2015-01-01 22:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.64,5.93,253.11,1.0
2015-01-01 23:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.3,5.95,252.53,1.0
2015-01-02 00:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,2.01,5.82,253.58,1.0
2015-01-02 01:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.92,5.32,246.88,1.0
2015-01-02 02:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.52,5.14,237.48,1.0
2015-01-02 03:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.56,5.38,235.3,1.0
2015-01-02 04:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.68,5.57,231.46,1.0
2015-01-02 05:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.6,5.77,229.63,1.0
2015-01-02 06:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.53,6.15,227.22,1.0
2015-01-02 07:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.26,6.32,229.73,1.0
2015-01-02 08:00:00,"(54.752103, 24.1001468)",era5,97.97,2.0,1.72,6.8,230.52,1.0
